,Message,Actual,Predictions
0,Were gonna go get some tacos,ham,ham
1,Allo! We have braved the buses and taken on the trains and triumphed. I mean we‘re in b‘ham. Have a jolly good rest of week,ham,ham
2,I'm working technical support :)voice process.,ham,ham
3,"This is one of the days you have a billion classes, right?",ham,ham
4,Just buy a pizza. Meat lovers or supreme. U get to pick.,ham,ham
5,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone,spam,spam
6,Thanks. It was only from tescos but quite nice. All gone now. Speak soon ,ham,ham
7,Yup no more already... Thanx 4 printing n handing it up.,ham,ham
8,Nvm it's ok...,ham,ham
9,Oooh I got plenty of those!,ham,ham
10,Just taste fish curry :-P,ham,ham
11,"I wonder how you got online, my love ? Had you gone to the net cafe ? Did you get your phone recharged ? Were you on a friends net ? I think of you, boytoy",ham,ham
12,My computer just fried the only essential part we don't keep spares of because my fucking idiot roommates looovvve leaving the thing running on full  &lt;#&gt; /7,ham,ham
13,You getting back any time soon?,ham,ham
14,Why did I wake up on my own &gt;:(,ham,ham
15,:-( that's not v romantic!,ham,ham
16,R U &SAM P IN EACHOTHER. IF WE MEET WE CAN GO 2 MY HOUSE,ham,ham
17,Hard LIVE 121 chat just 60p/min. Choose your girl and connect LIVE. Call 09094646899 now! Cheap Chat UK's biggest live service. VU BCM1896WC1N3XX,spam,spam
18,Fffff. Can you text kadeem or are you too far gone,ham,ham
19,Hi. Hope you had a good day. Have a better night.,ham,ham
20,I don't want you to leave. But i'm barely doing what i can to stay sane. fighting with you constantly isn't helping.,ham,ham
21,Hello- thanx for taking that call. I got a job! Starts on monday!,ham,ham
22,I liked your new house,ham,ham
23,Well i know Z will take care of me. So no worries.,ham,ham
24,And now electricity just went out fml.,ham,ham
25,U GOIN OUT 2NITE?,ham,ham
26,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16,spam,spam
27,Surly ill give it to you:-) while coming to review.,ham,ham
28,Ok... But bag again..,ham,ham
